Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"ADAMS, SUSAN H",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),DC,WASHINGTON,12/18/2020,2/25/2019 0:00,51900,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,BASIC SURVEILLANCE TRAINING COURSE
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,3/12/2021,3/12/2021 0:00,1703.68,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"CASE, SLIM CD, CLEAR"
"THUNDERCAT TECHNOLOGY, LLC",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),VA,RESTON,8/23/2021,8/24/2021 0:00,83965.64,OTHER COMPUTER RELATED SERVICES,DOMESTIC NETWORKING FOR RADIO PROGRAMS
"JLWS ENTERPRISES, INC.",DEPARTMENT OF HOMELAND SECURITY (DHS),DEPARTMENT OF HOMELAND SECURITY (DHS),VA,NORFOLK,4/15/2021,4/16/2021 0:00,98728.41,OFFICE EQUIPMENT MERCHANT WHOLESALERS,"THE PURPOSE OF THE PURCHASE ORDER IS TO PROVIDE MS-RSC LOCAL HIRE EQUIPMENT TO TEXAS, MARYLAND AND VIRGINIA"
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),VA,BLACKSBURG,7/20/2021,9/28/2020 0:00,111523,TESTING LABORATORIES,"THIS IS FOR LUNAR SUIT IMPACT ANALYSIS OF ACTIVE RESPONSE GRAVITY OFFLOAD SYSTEM (ARGOS), TESTING SUPPORT, SAFE FALLS OF HUMAN TEST SUBJECTS IN THE NASA/ARGOS FACILITY PER THE ATTACHED QUOTE 08192020."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,6/17/2021,6/17/2021 0:00,4554.8,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553894299!TRBO REGION 3
COMPUTER MISSION,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIENNA,10/26/2020,10/26/2020 0:00,228.25,COMPUTER FACILITIES MANAGEMENT SERVICES,PART NUMBER: ONP1 MFR: TARGUS ITEM: NOTEBOOK CASE
CW GOVERNMENT TRAVEL INCORPORATED,DEPARTMENT OF HOMELAND SECURITY (DHS),DEPARTMENT OF HOMELAND SECURITY (DHS),DC,WASHINGTON,9/24/2021,9/25/2019 0:00,7025202.5,TRAVEL AGENCIES,EXERCISE OPTION PERIOD 2 FOR TRAVEL MANAGEMENT SERVICES
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,11/25/2020,11/25/2020 0:00,238.4,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,8507827024!FLASHLIGHT
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,11/10/2020,11/10/2020 0:00,144.45,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"BROOM,PUSH, MEDIUM SURFACE, HANDLE BLACK METAL, DETACHABLE, 60"" L, BLOCK24"" X 7/8"" THICK HARDWOOD. POLYPROPYLENE FIBERS WITH 3.5"" LENGTH. FLEXIBLE ELASTOMER CONNECTOR.U/I EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/16/2021,8/16/2021 0:00,32.84,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554439336! DIETARY SUPPLEMENT24S
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,11/3/2020,11/3/2020 0:00,53.22,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,STAMP - CUSTOM
"AGILITI HEALTH, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,10/28/2020,10/1/2020 0:00,492666,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,SUBCONTRACTOR TIME&MATERIALS
"TIC SECURITY, LLC",DEPARTMENT OF THE TREASURY (TREAS),DEPARTMENT OF THE TREASURY (TREAS),DC,WASHINGTON,9/30/2021,9/30/2021 0:00,13424428.57,CUSTOM COMPUTER PROGRAMMING SERVICES,"DIGITAL VIDEO RECORDING SYSTEM: DESIGN, INSTALLATION AND OPERATIONS & MAINTENANCE"
"AVIAN, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,PATUXENT RIVER,11/9/2020,10/2/2020 0:00,11255.61,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,UPDATED THE SOW
ATLANTIC DIVING SUPPLY INCORPORATED,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIRGINIA BEACH,12/11/2020,12/11/2020 0:00,259.35,ALL OTHER MISCELLANEOUS MANUFACTURING,"GLOVES,MEN' S AND WOMEN' S SIZE LARGE. U/I PG (5 PAIR PER PG), MECHANIX WEAR GVMP-PKF55-010, CAMELBAK IMPACT CT GLOVES MPCT05-10, OR EQUAL."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/19/2020,11/19/2020 0:00,175.27,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551779234!TRBO REGION 3
"CALIBRE SYSTEMS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,2/9/2021,12/4/2014 1:12,14568886.74,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THIS MODIFICATION INCORPORATES CLAUSE 52.204-25 AS PER SECTION 889.
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,2/18/2021,2/18/2021 0:00,225.26,PERISHABLE PREPARED FOOD MANUFACTURING,"4552556106!APPLES, CHL,"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,1/14/2021,1/14/2021 0:00,2812.19,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,FACIAL TISSUE
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,9/23/2021,9/23/2021 0:00,13800,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,4554904175!POWER BREEZER (220V)
"CALIBRE SYSTEMS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,5/12/2021,12/4/2014 1:12,15571241.34,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THIS MODIFICATION DEFINITIZES THE UCO AND FULLY FUNDS THE BASE POP FOR THE SDT CMA EXTENSION IN SUPPORT OF ASC.
MCI COMMUNICATIONS SERVICES INCORPORATED,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHBURN,3/4/2021,9/14/2017 0:00,54901.15,WIRED TELECOMMUNICATIONS CARRIERS,NXEV002789EBM
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,11/17/2020,11/17/2020 0:00,715.18,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,MONITOR
ARGO TURBOSERVE CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,12/8/2020,12/8/2020 0:00,850.78,HARDWARE MANUFACTURING,"8507849973!COVER,ACCESS"
"CALIBRE SYSTEMS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,5/24/2021,12/4/2014 1:12,15571241.34,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THIS MODIFICATION EXERCISES OP1 UNDER THE SDT CMA TASK ORDER IN SUPPORT OF ASC FROM 03JUN2021 - 02DEC2021.
"AGILITI HEALTH, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,1/26/2021,10/1/2020 0:00,492666,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,SUBCONTRACTOR TIME & MATERIALS
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,12/7/2020,12/7/2020 0:00,729.54,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"FILE,EXP,LTR,131 W/O FLA"
"METROSTAR SYSTEMS, INC.",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),VA,RESTON,1/19/2021,11/2/2020 0:00,2319668.4,COMPUTER SYSTEMS DESIGN SERVICES,OPTION ONE: DIGITAL REDESIGN OF THE NITAAC WEBSITE PERIOD OF PERFORMANCE: 2/1/2021-7/30/2021
"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,HERNDON,11/20/2020,11/20/2020 0:00,2995547,ENGINEERING SERVICES,RESEARCH&DEVELOPMENT
"JAL ENTERPRISES, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,HAMPTON,7/27/2021,7/27/2021 0:00,5105.45,FOOD PRODUCT MACHINERY MANUFACTURING,8508399521!ICEMAKER-DISPENSER
"TRADEMASTERS SERVICE, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),DC,WASHINGTON,11/6/2020,11/9/2020 0:00,5359.44,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",CONTRACT REQUIREMENT IS FOR URGENT TASK ORDER PEPCO OUTAGE SUPPORT TO SWITCH LOAD FROM FEEDER 14631 AT THE LYNDON B. JOHNSON BUILDING
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,12/4/2020,12/4/2020 0:00,5.78,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551907624!GLOVES EXAM AND TREATMENT LARGE NITRILE
CLYM ENVIORMENTAL SERVICES,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,BETHESDA,12/16/2020,10/22/2014 0:00,123812.64,ALL OTHER SUPPORT SERVICES,"RADIOACTIVE PACKAGING, INSPECTION, AND DELIVERY OF RADIOACTIVE MATERIALS THROUGHOUT THE NIH AND THE SATELLITE FACILITIES. PERIOD COVERAGE: SEPT. 2014 TO DEC 11, 2014."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,12/7/2020,12/7/2020 0:00,53.8,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551913908!TRBO REGION 3
"MIDNIGHT SUN AUS, LLC",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,BETHESDA,9/29/2021,3/23/2021 0:00,179488.08,FACILITIES SUPPORT SERVICES,REPLACE TWO (2) LABORATORY HOT WATER HEATER TANKS IN BUILDING 33
ENTERPRISE SERVICES LLC,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,HERNDON,11/19/2020,2/1/2020 0:00,11619.19,COMPUTER SYSTEMS DESIGN SERVICES,UP DATE LOA AND SDN
GOVERNMENT SCIENTIFIC SOURCE INCORPORATED,DEPARTMENT OF AGRICULTURE (USDA),DEPARTMENT OF AGRICULTURE (USDA),VA,RESTON,6/23/2021,6/23/2021 0:00,67541.76,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NGC QUEST 10 PLUS CHROMATOGRAPHY SYSTEM
MCI COMMUNICATIONS SERVICES INCORPORATED,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHBURN,6/4/2021,9/14/2017 0:00,55345.72,WIRED TELECOMMUNICATIONS CARRIERS,NXEV002789EBM
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,6/23/2021,6/23/2021 0:00,889.88,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,"8508316814!FLASHLIGHT,LAZERBRI"
"BUREAU OF NATIONAL AFFAIRS, INC., THE",DEPARTMENT OF THE TREASURY (TREAS),DEPARTMENT OF THE TREASURY (TREAS),VA,ARLINGTON,8/18/2021,10/1/2018 0:00,4351034,OTHER COMPUTER RELATED SERVICES,FY19 LARGE CASE TAX ENGINE AUDIT - CORPORATE TAX ANALYSIS SOFTWARE
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,7/24/2021,7/24/2021 0:00,2000,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,"8508392745!SPECTACLES,INDUSTRI"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,10/7/2020,8/18/2020 0:00,178.14,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4550816622!TRBO REGION 3
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,9/16/2021,9/16/2021 0:00,64.05,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"HOLDER,CARD-LABEL:IAW U.S. ARMY NATICK LAB DRA- WING 8-2-165."
NORTHROP GRUMMAN SYSTEMS CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MC LEAN,3/11/2021,3/15/2018 0:00,8017659.75,ENGINEERING SERVICES,MODIFICATION TO INCORPORATE A REVISED DD FORM 254 (18-01)
"NANOSONICS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,PORTSMOUTH,6/18/2021,9/30/2019 0:00,76520,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,MAINTENANCE FOR VAPOR GERMICIDE
FEDERAL RESOURCES SUPPLY COMPANY,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,STEVENSVILLE,11/13/2020,11/13/2020 0:00,114444,PLASTICS PIPE AND PIPE FITTING MANUFACTURING,"8507771228!STRAINER,SEDIMENT"
"P.J.K. FOOD SERVICE, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,3/29/2021,3/29/2021 0:00,280.42,PERISHABLE PREPARED FOOD MANUFACTURING,"4552978978!APPLES, CHL,"
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,7/19/2021,7/19/2021 0:00,289.6,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,DUCT TAPE
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,6/7/2021,6/7/2021 0:00,1770,ALL OTHER MISCELLANEOUS MANUFACTURING,4553806543!5418 18X2ML QUICK-AT-ROTOR
"WHITING-TURNER CONTRACTING COMPANY, THE",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,HAMPTON,8/26/2021,5/21/2021 0:00,46375000,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,MOD P00002 CONSTITUTES GOVERNMENT ACCEPTANCE OF THE WHITING TURNER CONTRACTING COMPANY'S VALUE ENGINEERING CHANGE PROPOSAL SUBMITTED ON 25 MAY 2021.
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/27/2021,8/27/2021 0:00,9.86,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554581504!BTRY ALK AA 1.5V MNGN DIOX HVDTY FLT TRM
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,3/10/2021,3/10/2021 0:00,128.46,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"PHONE,CORDLESS,3 HAND,ATIVA,BL"
"AGILITI HEALTH, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,12/14/2020,10/1/2020 0:00,492666,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,SUBCONTRACTOR TIME & MATERIALS FUNDING
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,3/3/2021,3/3/2021 0:00,7412.09,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552702654!TRBO REGION 3
JO-KELL INC.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,CHESAPEAKE,9/7/2021,9/7/2021 0:00,13230.5,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,"8508505738!RELAY,THERMAL"
"ANGAYUT, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,BETHESDA,3/5/2021,3/8/2021 0:00,39276,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ANGAYUT, LLC INTER-AGENCY INSTITUTE FOR FEDERAL HEALTHCARE LEADERS (IAIFHL) EXECUTIVE LEVEL COURSE ADMINISTRATOR AND PROFESSOR CONSULTANT SUPPORT SERVICES TO SUPPORT THE GRIFFITH CENTER AND USU OFFICE OF THE PRESIDENT IAIFHL COURSE."
"INFORMATION MANAGEMENT TECHNOLOGY, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FAIRFAX,12/9/2020,12/31/2020 0:00,31816,ENGINEERING SERVICES,INTEGRATED BROADCAST SYSTEM (IBS) ENTERPRISE SERVICES (ES) - CORE SUSTAINMENT TASKING
"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FAIRFAX,7/22/2021,7/10/2009 0:00,236638299,ENGINEERING SERVICES,ENGINEERING SERVICES - DE-OB/SBIF COMMITMENT
"NORFOLK BANANA DISTRIBUTORS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NORFOLK,2/24/2021,2/24/2021 0:00,8289.25,PERISHABLE PREPARED FOOD MANUFACTURING,"4552617014!STRAWBERRIES, FRESH,"
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,3/9/2021,3/9/2021 0:00,132.61,ALL OTHER MISCELLANEOUS MANUFACTURING,4552786327!PMSF10G
"PAPCO, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,7/6/2021,7/6/2021 0:00,3399.89,PETROLEUM REFINERIES,8508340964!DIESEL FUEL
"NEW TECH SOLUTIONS, INC.",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),DC,WASHINGTON,10/26/2020,10/1/2020 0:00,44573.76,OTHER COMPUTER RELATED SERVICES,REQUEST FY21 RENEWAL OF TRIAL DIRECTORY 360 ALLOWS LEGAL TEAMS TO PRESENT EVIDENCE ELECTRONICALLY IN COURT
MCI COMMUNICATIONS SERVICES INCORPORATED,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHBURN,5/4/2021,9/14/2017 0:00,55345.72,WIRED TELECOMMUNICATIONS CARRIERS,NXEV002789EBM
"ARTCRAFT FABRICATORS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,PORTSMOUTH,9/3/2021,9/3/2021 0:00,24261,"SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING",BOLTS & NUTS MARINE HARDWARE USS IWO JIMA
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,3/4/2021,3/4/2021 0:00,148.77,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER-FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK MIN. SIZE LARGE, 9 1/2"" . U/I BX (100 EA"
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,3/13/2021,3/13/2021 0:00,67.91,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,PAPER TABLEWARE
"WHITING-TURNER CONTRACTING COMPANY, THE",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,HAMPTON,5/11/2021,5/21/2021 0:00,46375000,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCTION OF AIR FORCE TARGETING CENTER AT JOINT BASE LANGLEY-EUSTIS.
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/1/2021,9/1/2021 0:00,156.62,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554626828!LNCT ACCK SFTPR + 1.3MM 1.8MM 2.3MM 23GA
"SEVA TECHNICAL SERVICES, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NEWPORT NEWS,7/14/2021,7/14/2021 19:10,34.4,INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,AVERY(R) COLOR-CODING LABELS
FEDERAL RESOURCES SUPPLY COMPANY,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,STEVENSVILLE,11/9/2020,11/9/2020 0:00,1551.96,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,"8507788486!FILTER ELEMENT,FLUI"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,12/1/2020,12/1/2020 0:00,352.09,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,HAND SANITZER
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/11/2021,8/11/2021 0:00,117.12,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554390990!BNDG CFLX LF2 5YDX2IN CMPR LF CLRPK CHSV
OFFSPRING SOLUTIONS LLC,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,FREDERICK,7/9/2021,8/8/2020 0:00,965527.55,COMPUTER SYSTEMS DESIGN SERVICES,THE PURPOSE OF THIS MODIFICATION IS TO ADD ADDITIONAL LCAT.
ACTUARIAL RESEARCH CORPORATION,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),VA,ANNANDALE,5/27/2021,8/29/2018 0:00,5802828,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THE PURPOSE OF THE MEDICARE TECHNICAL PANELS IS TO REVIEW THE ASSUMPTIONS AND METHODOLOGY USED BY THE OFFICE OF THE ACTUARY TO MAKE THE PROJECTIONS FOR THE ANNUAL REPORT OF THE BOARDS OF TRUSTEES AND TO MAKE RECOMMENDATIONS FOR IMPROVING THE PROJECTI
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/25/2021,8/25/2021 0:00,20.95,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554578734!PACK 8.75X6IN THRP 1 SD INSL WRM CNST
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,1/28/2021,1/28/2021 0:00,3024.77,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552353964!TRBO REGION 3
DECISIONONE CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,4/1/2021,8/26/2019 0:00,119267.4,ELECTRONIC COMPUTER MANUFACTURING,STANDARD UNCLASS ADMIN LAPTOP SSD
"JBAB SOLAR I, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,9/1/2021,12/22/2016 0:00,16152400,SOLAR ELECTRIC POWER GENERATION,PV AT JBAB (ANACOSTIA)
